Ticker,Name
4063.T,"Shin-Etsu Chemical Co., Ltd."
7731.T,Nikon Corporation
9005.T,Tokyu Corporation
1944.T,Kinden Corporation
2871.T,Nichirei Corporation
7747.T,"Asahi Intecc Co., Ltd."
7912.T,"Dai Nippon Printing Co., Ltd."
8031.T,"Mitsui & Co., Ltd."
1803.T,Shimizu Corporation
6963.T,"ROHM Co., Ltd."
9104.T,"Mitsui O.S.K. Lines, Ltd."
2269.T,"Meiji Holdings Co., Ltd."
9532.T,"Osaka Gas Co., Ltd."
5844.T,"Kyoto Financial Group,Inc."
1878.T,"Daito Trust Construction Co.,Ltd."
9101.T,Nippon Yusen Kabushiki Kaisha
4502.T,Takeda Pharmaceutical Company Limited
2282.T,NH Foods Ltd.
2503.T,"Kirin Holdings Company, Limited"
9513.T,"Electric Power Development Co., Ltd."
3593.T,"Hogy Medical Co.,Ltd."
9531.T,"Tokyo Gas Co.,Ltd."
6201.T,Toyota Industries Corporation
2702.T,"McDonald's Holdings Company (Japan), Ltd."
2579.T,Coca-Cola Bottlers Japan Holdings Inc.
9719.T,SCSK Corporation
